企业名称,注册资本(万元),成立时间,注册地址,所属产业,专利数量,员工人数
成都电子科技有限公司,5000,2010-05-12,成都市高新区,电子信息,120,1500
重庆汽车制造股份有限公司,12000,2008-09-25,重庆市渝北区,汽车制造,85,3200
四川软件技术有限公司,2000,2015-03-18,成都市武侯区,软件服务,45,350
重庆智能硬件有限公司,3500,2012-07-30,重庆市南岸区,电子信息,78,800
成都新材料科技有限公司,6000,2009-11-15,成都市龙泉驿区,新材料,92,1200
重庆生物医药股份有限公司,8000,2011-04-22,重庆市沙坪坝区,生物医药,110,1800
四川新能源开发有限公司,4500,2013-06-08,成都市金牛区,新能源,67,750
重庆物流有限公司,2500,2007-12-03,重庆市江北区,物流运输,32,600
成都航空制造有限公司,15000,2005-08-19,成都市新都区,航空航天,145,2800
重庆数字科技有限公司,3000,2014-02-14,重庆市九龙坡区,数字经济,58,450
